SEQ_TYPE	PRIMER	SEQ_TECH	ACC
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5991529
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671312
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4249298
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5080902
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5078306
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671238
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4867215
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4664908
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4365121
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5302254
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4837631
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5217809
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4667320
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5068539
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248097
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4893278
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868228
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5060960
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4664843
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5298961
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665751
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671185
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4806665
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4239792
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5401337
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4869345
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4242073
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868714
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5287517
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4692347
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4555201
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4666860
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671162
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5061972
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665897
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4780608
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5746475
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5630493
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5289609
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4759993
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4247604
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4837799
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248830
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868256
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5301705
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4242220
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4239355
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5090740
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5223469
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5093994
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4242796
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248972
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4892760
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4838448
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5510092
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5219802
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5230950
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4569627
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5218843
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4440304
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4206939
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4869091
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4604851
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5088782
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4440535
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5077130
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4207329
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5225482
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5705498
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4440060
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665842
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5632249
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5477783
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4249499
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4664552
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665533
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5079267
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4808124
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4892756
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5091793
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4837957
