ACC	GENDER
SRR15289469	female
SRR15289479	female
SRR15289486	female
SRR15289494	male
SRR15289506	female
SRR15289510	male
SRR15289513	female
SRR15289514	female
SRR15289528	female
SRR15289529	male
SRR15289534	female
SRR15289536	male
SRR15289541	male
SRR15289543	male
SRR15289576	female
SRR15289577	male
SRR15288534	male
SRR15288535	male
SRR15288550	male
SRR15288551	female
SRR15288552	female
SRR15288553	female
SRR15288554	male
SRR15288555	female
SRR15288563	male
SRR15288582	female
SRR15288584	male
SRR15288585	male
SRR15288586	female
SRR15288587	male
SRR15288588	male
SRR15288590	female
SRR15288591	male
SRR15288593	male
SRR15288594	female
SRR15288595	male
SRR15288597	female
SRR15288598	female
SRR15288599	male
SRR15288600	female
SRR15288668	female
SRR15288701	female
SRR15288714	male
SRR15288715	male
SRR15288716	female
SRR15288717	female
SRR15288718	female
SRR15288719	female
SRR15288751	female
SRR15288785	female
SRR15288801	female
SRR15288802	male
SRR15288831	female
SRR15288220	male
SRR15288221	female
SRR15288299	female
SRR15288302	female
SRR15288305	male
SRR15288313	female
SRR15288314	male
SRR15288316	male
SRR15288527	female
SRR15288528	female
SRR15288529	male
SRR15288530	female
SRR15287407	female
SRR15287408	male
SRR15287409	male
SRR15287411	male
SRR15287412	male
SRR15287413	female
SRR15287414	male
SRR15287415	male
SRR15287416	female
SRR15287417	male
SRR15287418	female
SRR15287420	male
SRR15287421	male
SRR15287424	male
SRR15287244	female
SRR15287145	female
SRR15287149	male
SRR15287151	male
SRR15287152	female
SRR15287153	female
SRR15287154	female
SRR15286729	male
SRR15286730	female
SRR15286731	male
SRR15286732	male
SRR15286733	female
SRR15286734	male
SRR15286735	male
SRR15286736	female
SRR15286737	female
SRR15286738	female
SRR15286741	male
SRR15286742	male
SRR15286766	female
SRR15286768	female
SRR15286789	female
SRR15286800	male
SRR15286818	male
SRR15286833	female
SRR15286891	female
SRR15286224	male
SRR15286225	male
SRR15286246	male
SRR15286299	male
SRR15286426	male
SRR15286428	male
SRR15286429	female
SRR15286443	male
SRR15286455	female
SRR15286483	male
SRR15286496	male
SRR15286501	male
SRR15285886	female
SRR15285887	female
SRR15285893	female
SRR15285895	male
SRR15285896	male
SRR15285897	male
SRR15285898	male
SRR15285899	female
SRR15285900	female
SRR15285902	male
SRR15285903	male
SRR15285905	female
SRR15285906	male
SRR15285907	male
SRR15285908	female
SRR15285909	female
SRR15285910	female
SRR15285912	female
SRR15285944	female
SRR15285954	male
SRR15285959	female
SRR15285963	male
SRR15285411	female
SRR15285480	male
SRR15285481	male
SRR15285493	male
SRR15285182	female
SRR15285226	male
SRR15285227	female
SRR15285229	male
SRR15285303	female
SRR15285304	male
SRR15285313	male
SRR15285315	male
SRR15285339	male
SRR15284826	male
SRR15284827	female
SRR15284828	female
SRR15284853	female
SRR15284860	female
SRR15284862	male
SRR15284898	female
SRR15284953	male
SRR15284954	male
SRR15284955	male
SRR15284957	male
SRR15284958	female
SRR15284959	female
SRR15284960	male
SRR15284963	male
SRR15284991	male
SRR15285046	female
SRR15285051	male
SRR15285072	female
SRR15284296	male
SRR15284297	male
SRR15284298	male
SRR15284299	female
SRR15284300	male
SRR15284301	female
SRR15284320	male
SRR15284325	female
SRR15284334	male
SRR15284343	male
SRR15284344	male
SRR15284361	male
SRR15284362	female
SRR15284363	male
SRR15284366	female
SRR15284369	male
SRR15284370	female
SRR15284371	female
SRR15284373	male
SRR15284375	female
SRR15284377	female
SRR15284379	male
SRR15284491	female
SRR15284495	male
SRR15284000	male
SRR15284001	male
SRR15284176	male
SRR15284177	male
SRR15281728	female
SRR15277711	female
SRR15277712	male
SRR15277713	male
SRR15277714	male
SRR15277715	female
SRR15277716	female
SRR15277717	male
SRR15277718	female
SRR15277719	female
SRR15277720	male
SRR15277721	female
SRR15277722	male
SRR15277723	female
SRR15277724	male
