ACC	GISAID
SRR14808827	EPI_ISL_2443762
SRR14808828	EPI_ISL_2443761
SRR14808829	EPI_ISL_2443760
SRR14808830	EPI_ISL_2443759
SRR14808831	EPI_ISL_2443758
SRR14808832	EPI_ISL_2443757
SRR14808833	EPI_ISL_2443756
SRR14808834	EPI_ISL_2443755
SRR14808835	EPI_ISL_2443754
SRR14808836	EPI_ISL_2443753
SRR14808837	EPI_ISL_2443717
SRR14808838	EPI_ISL_2443752
SRR14808839	EPI_ISL_2443751
SRR14808840	EPI_ISL_2443750
SRR14808841	EPI_ISL_2443749
SRR14808842	EPI_ISL_2443748
SRR14808843	EPI_ISL_2443747
SRR14808844	EPI_ISL_2443746
SRR14808845	EPI_ISL_2443745
SRR14808846	EPI_ISL_2443744
SRR14808847	EPI_ISL_2443743
SRR14808848	EPI_ISL_2443716
SRR14808849	EPI_ISL_2443742
SRR14808850	EPI_ISL_2443741
SRR14808851	EPI_ISL_2443740
SRR14808852	EPI_ISL_2443739
SRR14808853	EPI_ISL_2443738
SRR14808854	EPI_ISL_2443737
SRR14808855	EPI_ISL_2443736
SRR14808856	EPI_ISL_2443735
SRR14808857	EPI_ISL_2443734
SRR14808858	EPI_ISL_2443733
SRR14808859	EPI_ISL_2443715
SRR14808860	EPI_ISL_2443732
SRR14808861	EPI_ISL_2443731
SRR14808862	EPI_ISL_2443730
SRR14808863	EPI_ISL_2443729
SRR14808864	EPI_ISL_2443728
SRR14808865	EPI_ISL_2443727
SRR14808866	EPI_ISL_2443726
SRR14808867	EPI_ISL_2443725
SRR14808868	EPI_ISL_2443724
SRR14808869	EPI_ISL_2443723
SRR14808870	EPI_ISL_2443714
SRR14808871	EPI_ISL_2443713
SRR14791380	EPI_ISL_2100158
SRR14791381	EPI_ISL_2137381
SRR14791382	EPI_ISL_2100157
SRR14791383	EPI_ISL_2100156
SRR14791384	EPI_ISL_2160743
SRR14791385	EPI_ISL_2100184
SRR14791386	EPI_ISL_2100183
SRR14791387	EPI_ISL_2100182
SRR14791388	EPI_ISL_2100181
SRR14791389	EPI_ISL_2100180
SRR14791390	EPI_ISL_2100179
SRR14791391	EPI_ISL_2100178
SRR14791392	EPI_ISL_2137383
SRR14791393	EPI_ISL_2100155
SRR14791394	EPI_ISL_2100177
SRR14791395	EPI_ISL_2100176
SRR14791396	EPI_ISL_2137382
SRR14791397	EPI_ISL_2100175
SRR14791398	EPI_ISL_2100174
SRR14791399	EPI_ISL_2100173
SRR14791400	EPI_ISL_2100172
SRR14791401	EPI_ISL_2100171
SRR14791402	EPI_ISL_2100170
SRR14791403	EPI_ISL_2100169
SRR14791404	EPI_ISL_2100154
SRR14791405	EPI_ISL_2011688
SRR14791406	EPI_ISL_2036963
SRR14791407	EPI_ISL_2036962
SRR14791408	EPI_ISL_2036961
SRR14791409	EPI_ISL_2036960
SRR14791410	EPI_ISL_2036959
SRR14791411	EPI_ISL_2036958
SRR14791412	EPI_ISL_2036957
SRR14791413	EPI_ISL_2036956
SRR14791414	EPI_ISL_2036955
SRR14791415	EPI_ISL_2100153
SRR14791416	EPI_ISL_2036954
SRR14791417	EPI_ISL_2036953
SRR14791418	EPI_ISL_2036952
SRR14791419	EPI_ISL_2036951
SRR14791420	EPI_ISL_2036950
SRR14791421	EPI_ISL_2036949
SRR14791422	EPI_ISL_2036948
SRR14791423	EPI_ISL_2036947
SRR14791424	EPI_ISL_2036946
SRR14791425	EPI_ISL_2036945
SRR14791426	EPI_ISL_2100152
SRR14791427	EPI_ISL_2100168
SRR14791428	EPI_ISL_2100167
SRR14791429	EPI_ISL_2100166
SRR14791430	EPI_ISL_2100165
SRR14791431	EPI_ISL_2100164
SRR14791432	EPI_ISL_2100163
SRR14791433	EPI_ISL_2100162
SRR14791434	EPI_ISL_2100161
SRR14791435	EPI_ISL_2100160
SRR14791436	EPI_ISL_2100159
SRR14791437	EPI_ISL_2100151
SRR14791438	EPI_ISL_2100150
SRR14779374	EPI_ISL_2134809
SRR14779336	EPI_ISL_2134808
SRR14779337	EPI_ISL_2134800
SRR14779338	EPI_ISL_2134799
SRR14779339	EPI_ISL_2134807
SRR14779340	EPI_ISL_2134806
SRR14779341	EPI_ISL_2134805
SRR14779342	EPI_ISL_2246222
SRR14779343	EPI_ISL_2246221
SRR14779344	EPI_ISL_2246220
