ACC	AGE
SRR15313322	14
SRR15313323	26
SRR15313324	51
SRR15313325	29
SRR15313326	39
SRR15313327	31
SRR15313328	35
SRR15313329	23
SRR15313330	50
SRR15313331	30
SRR15313332	34
SRR15313333	8
SRR15313334	64
SRR15313335	10
SRR15313336	41
SRR15313337	31
SRR15313338	8
SRR15313339	41
SRR15313340	27
SRR15313341	21
SRR15313342	38
SRR15313343	18
SRR15313344	38
SRR15313345	23
SRR15313346	35
SRR15313347	29
SRR15313348	21
SRR15313349	37
SRR15313350	24
SRR15313351	28
SRR15313352	34
SRR15313353	26
SRR15313354	6
SRR15313355	38
SRR15313356	24
SRR15313357	9
SRR15313358	28
SRR15313359	5
SRR15313360	77
SRR15313361	23
SRR15313362	29
SRR15313363	38
SRR15313364	50
SRR15313365	28
SRR15313366	45
SRR15313367	32
SRR15313368	26
SRR15313369	11
SRR15313370	22
SRR15313371	44
SRR15313372	38
SRR15313373	54
SRR15313374	47
SRR15313375	44
SRR15313376	54
SRR15313377	70
SRR15313378	53
SRR15313379	34
SRR15313380	24
SRR15313381	30
SRR15313382	10
SRR15313383	25
SRR15313384	23
SRR15313385	23
SRR15313386	36
SRR15313387	34
SRR15313388	35
SRR15313389	8
SRR15313390	29
SRR15313391	86
SRR15313392	62
SRR15313393	22
SRR15313394	26
SRR15313395	53
SRR15313396	32
SRR15313397	29
SRR15313398	43
SRR15313399	19
SRR15313400	50
SRR15313401	27
SRR15313402	28
SRR15313403	46
SRR15313404	30
SRR15313405	74
SRR15313406	5
SRR15313407	44
SRR15313408	22
SRR15313409	18
SRR15313410	9
SRR15313411	28
SRR15313412	41
SRR15313413	7
SRR15313414	42
SRR15313415	11
SRR15313416	28
SRR15313417	1
SRR15313418	25
SRR15313419	34
SRR15313420	30
SRR15313421	17
SRR15313422	30
SRR15313423	33
SRR15313424	8
SRR15313425	22
SRR15313426	15
SRR15313427	33
SRR15313428	37
SRR15313429	27
SRR15313430	26
SRR15313431	14
SRR15313432	44
SRR15313433	21
SRR15313434	23
SRR15313435	22
SRR15313436	48
SRR15313437	41
SRR15313438	40
SRR15313439	58
SRR15313440	36
SRR15313441	15
SRR15313442	14
SRR15313443	25
SRR15313444	15
SRR15313445	38
SRR15313446	26
SRR15313447	30
SRR15313448	55
SRR15313449	22
SRR15313450	2
SRR15313451	25
SRR15313452	47
SRR15313453	19
SRR15313454	19
SRR15313455	33
SRR15313456	21
SRR15313457	26
SRR15313458	32
SRR15313459	37
SRR15313460	24
SRR15313461	39
SRR15313462	49
SRR15313463	27
SRR15313464	45
